2025-05-28 09:12:20.313462+0000	INFO	             env/logging.go:42	=====================> Service started SCION Control Service cs2-ff00_0_211-1
  Scion version: 

  pid:           188579
  euid/egid:     1000 1000
  cmd line:      ["bin/control" "--config" "gen/ASff00_0_211/cs2-ff00_0_211-1.toml"]

2025-05-28 09:12:26.044444+0000	DEBUG	            grpc/fetcher.go:65	Fetch certificate chain from remote	{"debug_id": "997c6f7b", "trace_id": "0e8271327d6934e2", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:26+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210", "isd_as": "2-ff00:0:210", "validity": "not_before=2025-05-28T09:12:26Z, not_after=2025-05-28T15:12:26Z", "subject_key_id": "bdf9db123974aa5a885bd43a9d97446c5edb39e0", "server": "2-ff00:0:210,CS"}
2025-05-28 09:12:26.044471+0000	DEBUG	            appnet/addr.go:138	Sending SVC resolution request	{"debug_id": "997c6f7b", "trace_id": "0e8271327d6934e2", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:26+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210", "isd_as": "2-ff00:0:210", "svc": "CS"}
2025-05-28 09:12:26.044807+0000	DEBUG	            appnet/addr.go:146	SVC resolution successful	{"debug_id": "997c6f7b", "trace_id": "0e8271327d6934e2", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:26+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210", "reply": {"Transports":{"QUIC":"127.0.0.91:31038"},"ReturnPath":{}}}
2025-05-28 09:12:26.045003+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "bc8685ff", "trace_id": "0e8271327d6934e2", "method": "/proto.control_plane.v1.TrustMaterialService/Chains", "target": "[2-ff00:0:210,127.0.0.91]:31038"}
2025-05-28 09:12:26.047707+0000	DEBUG	            grpc/fetcher.go:90	Received certificate chains from remote	{"debug_id": "997c6f7b", "trace_id": "0e8271327d6934e2", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:26+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210", "isd_as": "2-ff00:0:210", "chains": 1}
2025-05-28 09:12:26.056716+0000	DEBUG	      beaconing/handler.go:101	Inserted beacon	{"debug_id": "997c6f7b", "trace_id": "0e8271327d6934e2", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:26+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210"}
2025-05-28 09:12:26.549902+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "2f352c5e", "isd_as": "2-ff00:0:210", "validity": "not_before=2025-05-28T09:12:26Z, not_after=2025-05-28T15:12:26Z", "subject_key_id": "bdf9db123974aa5a885bd43a9d97446c5edb39e0"}
2025-05-28 09:12:26.550028+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "8a10170f", "isd_as": "2-ff00:0:210", "validity": "not_before=2025-05-28T09:12:26Z, not_after=2025-05-28T15:12:26Z", "subject_key_id": "bdf9db123974aa5a885bd43a9d97446c5edb39e0"}
2025-05-28 09:12:26.551459+0000	DEBUG	     trust/crypto_loader.go:66	Ignoring existing certificate chain	{"debug_id": "2f352c5e", "file": "gen/ASff00_0_211/crypto/as/ISD2-ASff00_0_211.pem"}
2025-05-28 09:12:26.552169+0000	DEBUG	            appnet/addr.go:138	Sending SVC resolution request	{"debug_id": "8a10170f", "isd_as": "2-ff00:0:210", "svc": "CS"}
2025-05-28 09:12:26.552691+0000	DEBUG	            appnet/addr.go:146	SVC resolution successful	{"debug_id": "8a10170f", "reply": {"Transports":{"QUIC":"127.0.0.91:31038"},"ReturnPath":{}}}
2025-05-28 09:12:26.552895+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "95e542da", "trace_id": "701a39726062a080", "method": "/proto.control_plane.v1.SegmentRegistrationService/SegmentsRegistration", "target": "[2-ff00:0:210,127.0.0.91]:31038"}
2025-05-28 09:12:26.557916+0000	DEBUG	      seghandler/storage.go:46	Segments inserted in DB	{"debug_id": "2f352c5e", "segments": ["8f62293cb5fa85edaee8a095"]}
2025-05-28 09:12:26.557957+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "2f352c5e", "seg_type": "up", "count": 1, "start_isd_ases": 1}
2025-05-28 09:12:26.559423+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "9cbf5ddd", "trace_id": "701a39726062a080", "method": "/proto.control_plane.v1.TrustMaterialService/Chains"}
2025-05-28 09:12:26.559442+0000	DEBUG	           grpc/material.go:68	Received chain request	{"debug_id": "9cbf5ddd", "trace_id": "701a39726062a080", "query": {"isd_as":"2-ff00:0:211","subject_key_id":"628df2d00b1362852e48398424b5e552f9246296","validity":{"NotBefore":"2025-05-28T09:12:26Z","NotAfter":"2025-05-28T15:12:26Z"}}, "peer": "[2-ff00:0:210,127.0.0.91]:32767"}
2025-05-28 09:12:26.559551+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "9cbf5ddd", "trace_id": "701a39726062a080", "isd_as": "2-ff00:0:211", "validity": "not_before=2025-05-28T09:12:26Z, not_after=2025-05-28T15:12:26Z", "subject_key_id": "628df2d00b1362852e48398424b5e552f9246296"}
2025-05-28 09:12:26.559695+0000	DEBUG	           grpc/material.go:76	Replied with chains	{"debug_id": "9cbf5ddd", "trace_id": "701a39726062a080", "count": 1}
2025-05-28 09:12:26.582942+0000	DEBUG	       beaconing/writer.go:335	Successfully registered segment	{"debug_id": "8a10170f", "seg_type": "down", "addr": "2-ff00:0:210,CS", "seg": "ID: 8f62293cb5fa85edaee8a095 Timestamp: 2025-05-28 09:12:26+0000 Hops: 2-ff00:0:210 44262>33081 2-ff00:0:211"}
2025-05-28 09:12:26.582991+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "8a10170f", "seg_type": "down", "count": 1, "start_isd_ases": 1}
2025-05-28 09:12:31.540191+0000	DEBUG	     trust/crypto_loader.go:66	Ignoring existing certificate chain	{"file": "gen/ASff00_0_211/crypto/as/ISD2-ASff00_0_211.pem"}
2025-05-28 09:12:31.542961+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "dc4b1d0d", "trace_id": "258e80c7ee4f7f3c", "method": "/proto.control_plane.v1.SegmentCreationService/Beacon"}
2025-05-28 09:12:31.543346+0000	DEBUG	       beaconing/handler.go:76	Received beacon	{"debug_id": "dc4b1d0d", "trace_id": "258e80c7ee4f7f3c", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:31+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210"}
2025-05-28 09:12:31.548000+0000	DEBUG	      beaconing/handler.go:101	Inserted beacon	{"debug_id": "dc4b1d0d", "trace_id": "258e80c7ee4f7f3c", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:31+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210"}
2025-05-28 09:12:32.051130+0000	DEBUG	     trust/crypto_loader.go:66	Ignoring existing certificate chain	{"debug_id": "8a10170f", "file": "gen/ASff00_0_211/crypto/as/ISD2-ASff00_0_211.pem"}
2025-05-28 09:12:32.051703+0000	DEBUG	            appnet/addr.go:138	Sending SVC resolution request	{"debug_id": "8a10170f", "isd_as": "2-ff00:0:210", "svc": "CS"}
2025-05-28 09:12:32.052274+0000	DEBUG	            appnet/addr.go:146	SVC resolution successful	{"debug_id": "8a10170f", "reply": {"Transports":{"QUIC":"127.0.0.91:31038"},"ReturnPath":{}}}
2025-05-28 09:12:32.052506+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "310ca543", "trace_id": "193afd4359ae5685", "method": "/proto.control_plane.v1.SegmentRegistrationService/SegmentsRegistration", "target": "[2-ff00:0:210,127.0.0.91]:31038"}
2025-05-28 09:12:32.055120+0000	DEBUG	      seghandler/storage.go:49	Segments updated in DB	{"debug_id": "2f352c5e", "segments": ["8f62293cb5fa85edaee8a095"]}
2025-05-28 09:12:32.055165+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "2f352c5e", "seg_type": "up", "count": 1, "start_isd_ases": 1}
2025-05-28 09:12:32.062615+0000	DEBUG	       beaconing/writer.go:335	Successfully registered segment	{"debug_id": "8a10170f", "seg_type": "down", "addr": "2-ff00:0:210,CS", "seg": "ID: 8f62293cb5fa85edaee8a095 Timestamp: 2025-05-28 09:12:31+0000 Hops: 2-ff00:0:210 44262>33081 2-ff00:0:211"}
2025-05-28 09:12:32.062721+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "8a10170f", "seg_type": "down", "count": 1, "start_isd_ases": 1}
2025-05-28 09:12:36.540215+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "157c502b", "trace_id": "3d060b5a2c663df0", "method": "/proto.control_plane.v1.SegmentCreationService/Beacon"}
2025-05-28 09:12:36.540274+0000	DEBUG	       beaconing/handler.go:76	Received beacon	{"debug_id": "157c502b", "trace_id": "3d060b5a2c663df0", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:36+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210"}
2025-05-28 09:12:36.545196+0000	DEBUG	      beaconing/handler.go:101	Inserted beacon	{"debug_id": "157c502b", "trace_id": "3d060b5a2c663df0", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:36+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210"}
2025-05-28 09:12:37.051592+0000	DEBUG	     trust/crypto_loader.go:66	Ignoring existing certificate chain	{"debug_id": "2f352c5e", "file": "gen/ASff00_0_211/crypto/as/ISD2-ASff00_0_211.pem"}
2025-05-28 09:12:37.052343+0000	DEBUG	            appnet/addr.go:138	Sending SVC resolution request	{"debug_id": "8a10170f", "isd_as": "2-ff00:0:210", "svc": "CS"}
2025-05-28 09:12:37.053022+0000	DEBUG	            appnet/addr.go:146	SVC resolution successful	{"debug_id": "8a10170f", "reply": {"Transports":{"QUIC":"127.0.0.91:31038"},"ReturnPath":{}}}
2025-05-28 09:12:37.053285+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "e3df0717", "trace_id": "26e0581cf74f6e37", "method": "/proto.control_plane.v1.SegmentRegistrationService/SegmentsRegistration", "target": "[2-ff00:0:210,127.0.0.91]:31038"}
2025-05-28 09:12:37.055878+0000	DEBUG	      seghandler/storage.go:49	Segments updated in DB	{"debug_id": "2f352c5e", "segments": ["8f62293cb5fa85edaee8a095"]}
2025-05-28 09:12:37.055921+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "2f352c5e", "seg_type": "up", "count": 1, "start_isd_ases": 1}
2025-05-28 09:12:37.064323+0000	DEBUG	       beaconing/writer.go:335	Successfully registered segment	{"debug_id": "8a10170f", "seg_type": "down", "addr": "2-ff00:0:210,CS", "seg": "ID: 8f62293cb5fa85edaee8a095 Timestamp: 2025-05-28 09:12:36+0000 Hops: 2-ff00:0:210 44262>33081 2-ff00:0:211"}
2025-05-28 09:12:37.064404+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "8a10170f", "seg_type": "down", "count": 1, "start_isd_ases": 1}
2025-05-28 09:12:41.541416+0000	DEBUG	     trust/crypto_loader.go:66	Ignoring existing certificate chain	{"file": "gen/ASff00_0_211/crypto/as/ISD2-ASff00_0_211.pem"}
2025-05-28 09:12:41.544224+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "0e6ccc4f", "trace_id": "2e5ec0321daf925e", "method": "/proto.control_plane.v1.SegmentCreationService/Beacon"}
2025-05-28 09:12:41.544283+0000	DEBUG	       beaconing/handler.go:76	Received beacon	{"debug_id": "0e6ccc4f", "trace_id": "2e5ec0321daf925e", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:41+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210"}
2025-05-28 09:12:41.547944+0000	DEBUG	      beaconing/handler.go:101	Inserted beacon	{"debug_id": "0e6ccc4f", "trace_id": "2e5ec0321daf925e", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:41+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210"}
2025-05-28 09:12:42.550852+0000	DEBUG	     trust/crypto_loader.go:66	Ignoring existing certificate chain	{"debug_id": "8a10170f", "file": "gen/ASff00_0_211/crypto/as/ISD2-ASff00_0_211.pem"}
2025-05-28 09:12:42.551500+0000	DEBUG	            appnet/addr.go:138	Sending SVC resolution request	{"debug_id": "8a10170f", "isd_as": "2-ff00:0:210", "svc": "CS"}
2025-05-28 09:12:42.552190+0000	DEBUG	            appnet/addr.go:146	SVC resolution successful	{"debug_id": "8a10170f", "reply": {"Transports":{"QUIC":"127.0.0.91:31038"},"ReturnPath":{}}}
2025-05-28 09:12:42.552957+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "829433d1", "trace_id": "009583620d26c350", "method": "/proto.control_plane.v1.SegmentRegistrationService/SegmentsRegistration", "target": "[2-ff00:0:210,127.0.0.91]:31038"}
2025-05-28 09:12:42.555101+0000	DEBUG	      seghandler/storage.go:49	Segments updated in DB	{"debug_id": "2f352c5e", "segments": ["8f62293cb5fa85edaee8a095"]}
2025-05-28 09:12:42.555149+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "2f352c5e", "seg_type": "up", "count": 1, "start_isd_ases": 1}
2025-05-28 09:12:42.564153+0000	DEBUG	       beaconing/writer.go:335	Successfully registered segment	{"debug_id": "8a10170f", "seg_type": "down", "addr": "2-ff00:0:210,CS", "seg": "ID: 8f62293cb5fa85edaee8a095 Timestamp: 2025-05-28 09:12:41+0000 Hops: 2-ff00:0:210 44262>33081 2-ff00:0:211"}
2025-05-28 09:12:42.564248+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "8a10170f", "seg_type": "down", "count": 1, "start_isd_ases": 1}
2025-05-28 09:12:47.041422+0000	DEBUG	     trust/crypto_loader.go:66	Ignoring existing certificate chain	{"file": "gen/ASff00_0_211/crypto/as/ISD2-ASff00_0_211.pem"}
2025-05-28 09:12:47.045311+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "dd14d405", "trace_id": "1eb1f04efe2130d6", "method": "/proto.control_plane.v1.SegmentCreationService/Beacon"}
2025-05-28 09:12:47.045414+0000	DEBUG	       beaconing/handler.go:76	Received beacon	{"debug_id": "dd14d405", "trace_id": "1eb1f04efe2130d6", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:47+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210"}
2025-05-28 09:12:47.049234+0000	DEBUG	      beaconing/handler.go:101	Inserted beacon	{"debug_id": "dd14d405", "trace_id": "1eb1f04efe2130d6", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:47+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210"}
2025-05-28 09:12:48.051946+0000	DEBUG	     trust/crypto_loader.go:66	Ignoring existing certificate chain	{"debug_id": "2f352c5e", "file": "gen/ASff00_0_211/crypto/as/ISD2-ASff00_0_211.pem"}
2025-05-28 09:12:48.052605+0000	DEBUG	            appnet/addr.go:138	Sending SVC resolution request	{"debug_id": "8a10170f", "isd_as": "2-ff00:0:210", "svc": "CS"}
2025-05-28 09:12:48.053266+0000	DEBUG	            appnet/addr.go:146	SVC resolution successful	{"debug_id": "8a10170f", "reply": {"Transports":{"QUIC":"127.0.0.91:31038"},"ReturnPath":{}}}
2025-05-28 09:12:48.053508+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "76ee0c41", "trace_id": "4ec87f4c81d87b33", "method": "/proto.control_plane.v1.SegmentRegistrationService/SegmentsRegistration", "target": "[2-ff00:0:210,127.0.0.91]:31038"}
2025-05-28 09:12:48.056017+0000	DEBUG	      seghandler/storage.go:49	Segments updated in DB	{"debug_id": "2f352c5e", "segments": ["8f62293cb5fa85edaee8a095"]}
2025-05-28 09:12:48.056055+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "2f352c5e", "seg_type": "up", "count": 1, "start_isd_ases": 1}
2025-05-28 09:12:48.063557+0000	DEBUG	       beaconing/writer.go:335	Successfully registered segment	{"debug_id": "8a10170f", "seg_type": "down", "addr": "2-ff00:0:210,CS", "seg": "ID: 8f62293cb5fa85edaee8a095 Timestamp: 2025-05-28 09:12:47+0000 Hops: 2-ff00:0:210 44262>33081 2-ff00:0:211"}
2025-05-28 09:12:48.063636+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "8a10170f", "seg_type": "down", "count": 1, "start_isd_ases": 1}
2025-05-28 09:12:52.539614+0000	DEBUG	     trust/crypto_loader.go:66	Ignoring existing certificate chain	{"file": "gen/ASff00_0_211/crypto/as/ISD2-ASff00_0_211.pem"}
2025-05-28 09:12:52.543138+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "2f3327c1", "trace_id": "13ef03c545d9e65b", "method": "/proto.control_plane.v1.SegmentCreationService/Beacon"}
