2025-05-28 09:12:20.346522+0000	INFO	             env/logging.go:42	=====================> Service started SCION Daemon sd4-ff00_0_410
  Scion version: 

  pid:           188710
  euid/egid:     1000 1000
  cmd line:      ["bin/daemon" "--config" "gen/ASff00_0_410/sd.toml"]

2025-05-28 09:14:19.955065+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"isd_as": "1-ff00:0:120", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "2cff91ba10a841f332a74edc3cc8c129de9a0366"}
2025-05-28 09:14:19.955244+0000	DEBUG	            grpc/fetcher.go:65	Fetch certificate chain from remote	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "1-ff00:0:120", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "2cff91ba10a841f332a74edc3cc8c129de9a0366", "server": "127.0.0.123:31060"}
2025-05-28 09:14:19.955374+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "769eab39", "trace_id": "400c1924088e9a10", "method": "/proto.control_plane.v1.TrustMaterialService/Chains", "target": "127.0.0.123:31060"}
2025-05-28 09:14:19.955555+0000	DEBUG	            grpc/fetcher.go:65	Fetch certificate chain from remote	{"isd_as": "1-ff00:0:120", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "2cff91ba10a841f332a74edc3cc8c129de9a0366", "server": "127.0.0.123:31060"}
2025-05-28 09:14:19.955778+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "16b0678e", "trace_id": "400c1924088e9a10", "method": "/proto.control_plane.v1.TrustMaterialService/Chains", "target": "127.0.0.123:31060"}
2025-05-28 09:14:19.956192+0000	DEBUG	            grpc/fetcher.go:90	Received certificate chains from remote	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "1-ff00:0:120", "chains": 1}
2025-05-28 09:14:19.956849+0000	DEBUG	            grpc/fetcher.go:90	Received certificate chains from remote	{"isd_as": "1-ff00:0:120", "chains": 1}
2025-05-28 09:14:19.959532+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "id": "ISD3-B1-S1"}
2025-05-28 09:14:19.959609+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"id": "ISD3-B1-S1"}
2025-05-28 09:14:19.959705+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "3-ff00:0:310", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "929ec4e1861ad7edebe474ff36f3c9740ec28277"}
2025-05-28 09:14:19.959772+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"isd_as": "3-ff00:0:310", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "929ec4e1861ad7edebe474ff36f3c9740ec28277"}
2025-05-28 09:14:19.959881+0000	DEBUG	            grpc/fetcher.go:65	Fetch certificate chain from remote	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "3-ff00:0:310", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "929ec4e1861ad7edebe474ff36f3c9740ec28277", "server": "127.0.0.123:31060"}
2025-05-28 09:14:19.959967+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "f70ba43d", "trace_id": "400c1924088e9a10", "method": "/proto.control_plane.v1.TrustMaterialService/Chains", "target": "127.0.0.123:31060"}
2025-05-28 09:14:19.960178+0000	DEBUG	            grpc/fetcher.go:65	Fetch certificate chain from remote	{"isd_as": "3-ff00:0:310", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "929ec4e1861ad7edebe474ff36f3c9740ec28277", "server": "127.0.0.123:31060"}
2025-05-28 09:14:19.960850+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "522cd793", "trace_id": "400c1924088e9a10", "method": "/proto.control_plane.v1.TrustMaterialService/Chains", "target": "127.0.0.123:31060"}
2025-05-28 09:14:19.961225+0000	DEBUG	            grpc/fetcher.go:90	Received certificate chains from remote	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "3-ff00:0:310", "chains": 1}
2025-05-28 09:14:19.961769+0000	DEBUG	            grpc/fetcher.go:90	Received certificate chains from remote	{"isd_as": "3-ff00:0:310", "chains": 1}
2025-05-28 09:14:19.964612+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "id": "ISD4-B1-S1"}
2025-05-28 09:14:19.964880+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"id": "ISD4-B1-S1"}
2025-05-28 09:14:19.964940+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "4-ff00:0:410", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "bb83c36940242f874a52eaf76255f4fcbc47fc1e"}
2025-05-28 09:14:19.965186+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"isd_as": "4-ff00:0:410", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "bb83c36940242f874a52eaf76255f4fcbc47fc1e"}
